id_site,no_spec,lon,lat,MAT,MAP,HYP,LOP
81380,14,18.25,-11.84,19.7,1373,2,1.143
76716,24,27.88,-14.54,21,938,2.167,1.375
185354,15,-1.12,10.94,28.1,919,2.267,1.333
201349,21,31.22,1.96,25.4,874,2,1.143
81387,18,21.47,-11.84,20.8,1267,2,1.222
69012,17,15.27,-19.03,22.1,356,2.353,1.471
70530,16,14.25,-18.13,21.9,353,2.438,1.438
99662,25,10.95,-1.51,25.4,2071,1.48,0.917
90121,25,35.36,-6.9,22.7,538,2.16,1.32
77514,19,37.65,-14.09,23.5,1049,2.158,1.211
65997,13,16.07,-20.82,20.2,393,2.462,1.615
197336,24,27.17,4.21,24.5,1651,1.792,1.083
95698,14,29.75,-3.76,16.5,1306,1.571,1
79054,20,28.98,-13.19,19.7,1166,2.1,1.3
100523,22,37.42,-1.06,21.3,745,2.182,1.227
88530,25,35.34,-7.8,18.9,698,2.08,1.24
176811,3,15.2,15.88,28.3,95,2.333,1.333
186192,14,21.9,10.49,26.9,840,2.286,1.143
186213,8,31.5,10.49,27.7,704,1.875,1
183061,4,28.24,12.29,27.3,385,1.5,0.5
74379,16,20.8,-15.88,20.7,801,2.5,1.375
188501,19,-6.66,9.15,26,1405,2,1.263
83770,24,31.95,-10.49,21,1135,2.167,1.375
202950,30,29.79,1.06,22.7,1416,1.633,0.933
194160,27,35.88,6,26.4,865,2.111,1.185
190160,14,26.5,8.25,26.7,1072,2.286,1.286
198911,26,15.71,3.31,23.8,1566,1.462,0.923
81410,28,32.02,-11.84,23.1,928,2.286,1.321
75152,17,21.3,-15.43,21.2,855,2.412,1.294
191791,8,45.08,7.35,25.5,295,2.125,1.75
198119,27,19.4,3.76,25,1672,1.593,0.963
203766,25,36.05,0.61,24.1,634,2.16,1.24
86124,15,23.81,-9.15,23,1370,1.667,0.933
60100,25,28.17,-24.42,18.4,622,2.4,1.56
192532,24,20.43,6.9,24.8,1327,2.042,1.25
183812,12,12.75,11.84,25.5,607,2.167,1.167
90889,15,22.5,-6.45,23.8,1687,1.6,1.067
189372,13,29.01,8.7,27.6,891,2.231,1.231
195708,21,13.9,5.1,23.6,1540,1.81,1
195783,4,47.72,5.1,26.9,188,1.75,2
183770,13,-6.52,11.84,27.4,987,2.154,1.231
183082,14,37.89,12.29,20.2,956,1.929,1
181507,4,33.13,13.19,28.4,378,1,0
203775,14,40.09,0.61,28.4,312,1.857,1.214
189390,13,37.19,8.7,20.3,1421,1.923,0.923
72843,22,22.67,-16.78,22.2,713,2.409,1.409
75987,9,49.7,-14.99,21.3,2059,1,0.143
90868,12,13.01,-6.45,26.6,872,1.917,1.167
195657,21,-9.09,5.1,25.2,4041,1.524,1.1
194126,22,20.52,6,25,1435,2.091,1.182
193281,19,-0.99,6.45,26.2,1595,1.526,1
72832,12,17.51,-16.78,22.5,670,2.333,1.167
60864,4,44.15,-23.97,24.2,529,1,0.333
195692,13,6.69,5.1,26.6,2460,1.308,0.769
192469,21,-8.07,6.9,25.5,1829,1.476,1
179960,10,38.58,14.09,18.3,724,2.1,1.2
69787,22,22.81,-18.58,22.1,492,2.273,1.318
61548,11,19.37,-23.52,19.7,259,2.455,1.545
89284,16,16.55,-7.35,24.1,1258,1.688,0.875
204582,17,42.33,0.16,27.8,497,2.059,1.176
78297,17,39.54,-13.64,25.3,1043,2.176,1.235
98083,19,21.85,-2.41,24,1994,1.526,0.947
200526,26,21.4,2.41,25,1704,1.462,0.846
193357,19,33.35,6.45,27.5,930,2.158,1.158
89296,15,21.98,-7.35,23.7,1530,1.6,1.067
73596,14,15.18,-16.33,23.4,670,2.357,1.143
92488,15,23.97,-5.55,25.1,1545,1.667,0.933
